quota,algorithm,variance_type,variance
1,MES,theoretical,4.897959183673469e-05
1,MES,empirical,4.856555559183673e-05
1,MCIS,theoretical,4.897959183673469e-05
1,MCIS,empirical,4.792974302040816e-05
1,S-MCIS,theoretical,0.0
1,S-MCIS,empirical,0.0
2,MES,theoretical,3.44671201814059e-05
2,MES,empirical,3.301732477097506e-05
2,MCIS,theoretical,3.44671201814059e-05
2,MCIS,empirical,3.4348136199546484e-05
2,S-MCIS,theoretical,1.2678127694102133e-05
2,S-MCIS,empirical,1.258909549130618e-05
3,MES,theoretical,2.975963718820861e-05
3,MES,empirical,3.0094826811791382e-05
3,MCIS,theoretical,2.975963718820861e-05
3,MCIS,empirical,2.947850528798186e-05
3,S-MCIS,theoretical,2.1616207718444138e-05
3,S-MCIS,empirical,2.1762500917837262e-05
4,MES,theoretical,3.2916099773242634e-05
4,MES,empirical,3.2935001179138325e-05
4,MCIS,theoretical,3.2916099773242634e-05
4,MCIS,empirical,3.306484803628118e-05
4,S-MCIS,theoretical,2.820883411937725e-05
4,S-MCIS,empirical,2.775500908068461e-05
5,MES,theoretical,3.2916099773242634e-05
5,MES,empirical,3.211277032199547e-05
5,MCIS,theoretical,3.2916099773242634e-05
5,MCIS,empirical,3.303425603628118e-05
5,S-MCIS,theoretical,2.668745879608499e-05
5,S-MCIS,empirical,2.6811492672724958e-05
6,MES,theoretical,3.291609977324263e-05
6,MES,empirical,3.2869622131519275e-05
6,MCIS,theoretical,3.291609977324263e-05
6,MCIS,empirical,3.364971660770976e-05
6,S-MCIS,theoretical,2.668745879608499e-05
6,S-MCIS,empirical,2.6505510637991046e-05
7,MES,theoretical,3.2916099773242634e-05
7,MES,empirical,3.282401756009071e-05
7,MCIS,theoretical,3.2916099773242634e-05
7,MCIS,empirical,3.3005657179138324e-05
7,S-MCIS,theoretical,2.820883411937725e-05
7,S-MCIS,empirical,2.8320609434837607e-05
8,MES,theoretical,2.975963718820862e-05
8,MES,empirical,2.9731447002267568e-05
8,MCIS,theoretical,2.975963718820862e-05
8,MCIS,empirical,2.8829584907029476e-05
8,S-MCIS,theoretical,2.1616207718444138e-05
8,S-MCIS,empirical,2.1821524244998496e-05
9,MES,theoretical,3.44671201814059e-05
9,MES,empirical,3.4652104199546486e-05
9,MCIS,theoretical,3.44671201814059e-05
9,MCIS,empirical,3.481841734240363e-05
9,S-MCIS,theoretical,1.2678127694102133e-05
9,S-MCIS,empirical,1.2891900596586964e-05
10,MES,theoretical,4.897959183673469e-05
10,MES,empirical,4.993799902040817e-05
10,MCIS,theoretical,4.897959183673469e-05
10,MCIS,empirical,4.840897502040816e-05
10,S-MCIS,theoretical,0.0
10,S-MCIS,empirical,0.0
